Spatial Frequency(Hz),Modulation(0-1),System time since start (milliseconds),Target Position(pixels),Cursor Position(pixels),Error(pixels),x-axis gain
20.0,1.0,151,320,320,0.0,4.0,
20.0,1.0,205,320,320,0.0,4.0,
20.0,1.0,222,320,320,0.0,4.0,
20.0,1.0,245,320,320,0.0,4.0,
20.0,1.0,278,320,320,0.0,4.0,
20.0,1.0,311,320,320,0.0,4.0,
20.0,1.0,345,320,320,0.0,4.0,
20.0,1.0,378,320,320,0.0,4.0,
20.0,1.0,409,320,320,0.0,4.0,
20.0,1.0,442,320,320,0.0,4.0,
20.0,1.0,475,320,320,0.0,4.0,
20.0,1.0,508,320,320,0.0,4.0,
20.0,1.0,541,320,320,0.0,4.0,
20.0,1.0,574,320,320,0.0,4.0,
20.0,1.0,607,320,320,0.0,4.0,
20.0,1.0,640,320,320,0.0,4.0,
20.0,1.0,673,320,320,0.0,4.0,
20.0,1.0,708,320,320,0.0,4.0,
20.0,1.0,742,320,320,0.0,4.0,
20.0,1.0,777,320,320,0.0,4.0,
20.0,1.0,810,320,320,0.0,4.0,
20.0,1.0,843,320,320,0.0,4.0,
20.0,1.0,876,320,320,0.0,4.0,
20.0,1.0,909,320,320,0.0,4.0,
20.0,1.0,942,320,320,0.0,4.0,
20.0,1.0,977,320,320,0.0,4.0,
20.0,1.0,1009,320,320,0.0,4.0,
20.0,1.0,1041,320,320,0.0,4.0,
20.0,1.0,1071,320,320,0.0,4.0,
20.0,1.0,1103,320,320,0.0,4.0,
20.0,1.0,1138,320,320,0.0,4.0,
20.0,1.0,1173,320,320,0.0,4.0,
20.0,1.0,1205,320,320,0.0,4.0,
20.0,1.0,1238,320,320,0.0,4.0,
20.0,1.0,1271,320,320,0.0,4.0,
20.0,1.0,1303,320,320,0.0,4.0,
20.0,1.0,1336,320,320,0.0,4.0,
20.0,1.0,1369,320,320,0.0,4.0,
20.0,1.0,1401,320,320,0.0,4.0,
20.0,1.0,1434,320,320,0.0,4.0,
20.0,1.0,1467,320,320,0.0,4.0,
20.0,1.0,1500,320,320,0.0,4.0,
20.0,1.0,1533,320,320,0.0,4.0,
20.0,1.0,1565,320,320,0.0,4.0,
20.0,1.0,1598,320,320,0.0,4.0,
20.0,1.0,1632,320,320,0.0,4.0,
20.0,1.0,1665,320,320,0.0,4.0,
20.0,1.0,1698,320,320,0.0,4.0,
20.0,1.0,1732,320,320,0.0,4.0,
20.0,1.0,1765,320,320,0.0,4.0,
20.0,1.0,1799,320,320,0.0,4.0,
20.0,1.0,1833,320,320,0.0,4.0,
20.0,1.0,1865,320,320,0.0,4.0,
20.0,1.0,1899,320,320,0.0,4.0,
20.0,1.0,1932,320,320,0.0,4.0,
20.0,1.0,1966,320,320,0.0,4.0,
20.0,1.0,1999,320,320,0.0,4.0,
20.0,1.0,2033,320,320,0.0,4.0,
20.0,1.0,2066,320,320,0.0,4.0,
20.0,1.0,2100,320,320,0.0,4.0,
20.0,1.0,2133,320,320,0.0,4.0,
20.0,1.0,2166,320,320,0.0,4.0,
20.0,1.0,2200,320,320,0.0,4.0,
20.0,1.0,2233,320,320,0.0,4.0,
20.0,1.0,2267,320,320,0.0,4.0,
20.0,1.0,2301,320,320,0.0,4.0,
20.0,1.0,2333,320,320,0.0,4.0,
20.0,1.0,2367,320,320,0.0,4.0,
20.0,1.0,2400,320,320,0.0,4.0,
20.0,1.0,2434,320,320,0.0,4.0,
20.0,1.0,2467,320,320,0.0,4.0,
20.0,1.0,2501,320,320,0.0,4.0,
20.0,1.0,2534,320,320,0.0,4.0,
20.0,1.0,2567,320,320,0.0,4.0,
20.0,1.0,2601,320,320,0.0,4.0,
20.0,1.0,2636,320,320,0.0,4.0,
20.0,1.0,2668,320,320,0.0,4.0,
20.0,1.0,2701,320,320,0.0,4.0,
20.0,1.0,2734,320,320,0.0,4.0,
20.0,1.0,2768,320,320,0.0,4.0,
20.0,1.0,2801,320,320,0.0,4.0,
20.0,1.0,2835,320,320,0.0,4.0,
20.0,1.0,2868,320,320,0.0,4.0,
20.0,1.0,2902,320,320,0.0,4.0,
20.0,1.0,2935,320,320,0.0,4.0,
20.0,1.0,2968,320,320,0.0,4.0,
20.0,1.0,3003,320,320,0.0,4.0,
20.0,1.0,3035,320,320,0.0,4.0,
20.0,1.0,3069,320,320,0.0,4.0,
20.0,1.0,3102,320,320,0.0,4.0,
20.0,1.0,3136,320,320,0.0,4.0,
20.0,1.0,3169,320,320,0.0,4.0,
20.0,1.0,3202,320,320,0.0,4.0,
20.0,1.0,3236,320,320,0.0,4.0,
20.0,1.0,3269,320,320,0.0,4.0,
20.0,1.0,3303,320,320,0.0,4.0,
20.0,1.0,3337,320,320,0.0,4.0,
20.0,1.0,3369,320,320,0.0,4.0,
20.0,1.0,3403,320,320,0.0,4.0,
20.0,1.0,3436,320,320,0.0,4.0,
20.0,1.0,3470,320,320,0.0,4.0,
20.0,1.0,3503,320,320,0.0,4.0,
20.0,1.0,3537,320,320,0.0,4.0,
20.0,1.0,3570,320,320,0.0,4.0,
20.0,1.0,3603,320,320,0.0,4.0,
20.0,1.0,3637,320,320,0.0,4.0,
20.0,1.0,3670,320,320,0.0,4.0,
20.0,1.0,3704,320,320,0.0,4.0,
20.0,1.0,3737,320,320,0.0,4.0,
20.0,1.0,3771,320,320,0.0,4.0,
20.0,1.0,3804,320,320,0.0,4.0,
20.0,1.0,3837,320,320,0.0,4.0,
20.0,1.0,3871,320,320,0.0,4.0,
20.0,1.0,3904,320,320,0.0,4.0,
20.0,1.0,3938,320,320,0.0,4.0,
20.0,1.0,3971,320,320,0.0,4.0,
20.0,1.0,4005,320,320,0.0,4.0,
20.0,1.0,4038,320,320,0.0,4.0,
20.0,1.0,4071,320,320,0.0,4.0,
20.0,1.0,4106,320,320,0.0,4.0,
20.0,1.0,4138,320,320,0.0,4.0,
