Spatial Frequency(Hz),Modulation(0-1),System time since start (milliseconds),Target Position(pixels),Cursor Position(pixels),Error(pixels),x-axis gain
1.0,1.0,154,320,320,0.0,4.0,
1.0,1.0,258,320,320,0.0,4.0,
1.0,1.0,283,320,320,0.0,4.0,
1.0,1.0,317,320,320,0.0,4.0,
1.0,1.0,351,320,320,0.0,4.0,
1.0,1.0,386,320,320,0.0,4.0,
1.0,1.0,417,320,320,0.0,4.0,
1.0,1.0,452,320,320,0.0,4.0,
1.0,1.0,485,320,320,0.0,4.0,
1.0,1.0,518,320,320,0.0,4.0,
1.0,1.0,552,320,320,0.0,4.0,
1.0,1.0,585,320,320,0.0,4.0,
1.0,1.0,618,320,320,0.0,4.0,
1.0,1.0,651,320,320,0.0,4.0,
1.0,1.0,685,320,320,0.0,4.0,
1.0,1.0,718,320,320,0.0,4.0,
1.0,1.0,752,320,320,0.0,4.0,
1.0,1.0,785,320,320,0.0,4.0,
1.0,1.0,818,320,320,0.0,4.0,
1.0,1.0,852,320,320,0.0,4.0,
1.0,1.0,885,320,320,0.0,4.0,
1.0,1.0,919,320,320,0.0,4.0,
1.0,1.0,953,320,320,0.0,4.0,
1.0,1.0,985,320,320,0.0,4.0,
1.0,1.0,1019,320,320,0.0,4.0,
1.0,1.0,1052,320,320,0.0,4.0,
1.0,1.0,1086,320,320,0.0,4.0,
1.0,1.0,1119,320,320,0.0,4.0,
1.0,1.0,1152,320,320,0.0,4.0,
1.0,1.0,1186,320,320,0.0,4.0,
1.0,1.0,1220,320,320,0.0,4.0,
1.0,1.0,1254,320,320,0.0,4.0,
1.0,1.0,1286,320,320,0.0,4.0,
1.0,1.0,1317,320,320,0.0,4.0,
1.0,1.0,1348,320,320,0.0,4.0,
1.0,1.0,1381,320,320,0.0,4.0,
1.0,1.0,1413,320,320,0.0,4.0,
1.0,1.0,1447,320,320,0.0,4.0,
1.0,1.0,1482,320,320,0.0,4.0,
1.0,1.0,1517,320,320,0.0,4.0,
1.0,1.0,1552,320,320,0.0,4.0,
1.0,1.0,1586,320,320,0.0,4.0,
1.0,1.0,1621,320,320,0.0,4.0,
1.0,1.0,1654,320,320,0.0,4.0,
1.0,1.0,1687,320,320,0.0,4.0,
1.0,1.0,1721,320,320,0.0,4.0,
1.0,1.0,1754,320,320,0.0,4.0,
1.0,1.0,1788,320,320,0.0,4.0,
1.0,1.0,1821,320,320,0.0,4.0,
1.0,1.0,1854,320,320,0.0,4.0,
1.0,1.0,1888,320,320,0.0,4.0,
1.0,1.0,1921,320,320,0.0,4.0,
1.0,1.0,1955,320,320,0.0,4.0,
1.0,1.0,1988,320,320,0.0,4.0,
1.0,1.0,2022,320,320,0.0,4.0,
1.0,1.0,2055,320,320,0.0,4.0,
1.0,1.0,2088,320,320,0.0,4.0,
1.0,1.0,2123,320,320,0.0,4.0,
1.0,1.0,2155,320,320,0.0,4.0,
1.0,1.0,2189,320,320,0.0,4.0,
1.0,1.0,2222,320,320,0.0,4.0,
1.0,1.0,2255,320,320,0.0,4.0,
1.0,1.0,2289,320,320,0.0,4.0,
1.0,1.0,2323,320,320,0.0,4.0,
1.0,1.0,2356,320,320,0.0,4.0,
1.0,1.0,2389,320,320,0.0,4.0,
1.0,1.0,2423,320,320,0.0,4.0,
1.0,1.0,2456,320,320,0.0,4.0,
1.0,1.0,2489,320,320,0.0,4.0,
1.0,1.0,2523,320,320,0.0,4.0,
1.0,1.0,2556,320,320,0.0,4.0,
1.0,1.0,2590,320,320,0.0,4.0,
1.0,1.0,2623,320,320,0.0,4.0,
1.0,1.0,2657,320,320,0.0,4.0,
1.0,1.0,2690,320,320,0.0,4.0,
1.0,1.0,2723,320,320,0.0,4.0,
1.0,1.0,2757,320,320,0.0,4.0,
1.0,1.0,2790,320,320,0.0,4.0,
1.0,1.0,2824,320,320,0.0,4.0,
1.0,1.0,2857,320,320,0.0,4.0,
1.0,1.0,2891,320,320,0.0,4.0,
1.0,1.0,2925,320,320,0.0,4.0,
1.0,1.0,2957,320,320,0.0,4.0,
1.0,1.0,2992,320,320,0.0,4.0,
1.0,1.0,3025,320,320,0.0,4.0,
1.0,1.0,3059,320,320,0.0,4.0,
1.0,1.0,3091,320,320,0.0,4.0,
1.0,1.0,3124,320,320,0.0,4.0,
1.0,1.0,3158,320,320,0.0,4.0,
1.0,1.0,3191,320,320,0.0,4.0,
1.0,1.0,3225,320,320,0.0,4.0,
1.0,1.0,3258,320,320,0.0,4.0,
1.0,1.0,3292,320,320,0.0,4.0,
1.0,1.0,3325,320,320,0.0,4.0,
1.0,1.0,3358,320,320,0.0,4.0,
1.0,1.0,3392,320,320,0.0,4.0,
1.0,1.0,3425,320,320,0.0,4.0,
1.0,1.0,3459,320,320,0.0,4.0,
1.0,1.0,3492,320,320,0.0,4.0,
1.0,1.0,3526,320,320,0.0,4.0,
1.0,1.0,3559,320,320,0.0,4.0,
1.0,1.0,3592,320,320,0.0,4.0,
1.0,1.0,3626,320,320,0.0,4.0,
1.0,1.0,3659,320,320,0.0,4.0,
1.0,1.0,3693,320,320,0.0,4.0,
1.0,1.0,3727,320,320,0.0,4.0,
1.0,1.0,3760,320,320,0.0,4.0,
1.0,1.0,3793,320,320,0.0,4.0,
1.0,1.0,3826,320,320,0.0,4.0,
1.0,1.0,3860,320,320,0.0,4.0,
1.0,1.0,3893,320,320,0.0,4.0,
1.0,1.0,3927,320,320,0.0,4.0,
1.0,1.0,3960,320,320,0.0,4.0,
1.0,1.0,3994,320,320,0.0,4.0,
1.0,1.0,4027,320,320,0.0,4.0,
1.0,1.0,4060,320,320,0.0,4.0,
1.0,1.0,4094,320,320,0.0,4.0,
1.0,1.0,4127,320,320,0.0,4.0,
1.0,1.0,4161,320,320,0.0,4.0,
1.0,1.0,4194,320,320,0.0,4.0,
1.0,1.0,4228,320,320,0.0,4.0,
1.0,1.0,4263,320,320,0.0,4.0,
1.0,1.0,4297,320,320,0.0,4.0,
1.0,1.0,4332,320,320,0.0,4.0,
1.0,1.0,4364,320,320,0.0,4.0,
1.0,1.0,4396,320,320,0.0,4.0,
1.0,1.0,4428,320,320,0.0,4.0,
1.0,1.0,4461,320,320,0.0,4.0,
1.0,1.0,4495,320,320,0.0,4.0,
1.0,1.0,4528,320,320,0.0,4.0,
1.0,1.0,4562,320,320,0.0,4.0,
1.0,1.0,4595,320,320,0.0,4.0,
1.0,1.0,4629,320,320,0.0,4.0,
1.0,1.0,4662,320,320,0.0,4.0,
1.0,1.0,4695,320,320,0.0,4.0,
1.0,1.0,4730,320,320,0.0,4.0,
1.0,1.0,4762,320,320,0.0,4.0,
1.0,1.0,4796,320,320,0.0,4.0,
1.0,1.0,4829,320,320,0.0,4.0,
1.0,1.0,4863,320,320,0.0,4.0,
1.0,1.0,4897,320,320,0.0,4.0,
1.0,1.0,4929,320,320,0.0,4.0,
1.0,1.0,4963,320,320,0.0,4.0,
1.0,1.0,4996,320,320,0.0,4.0,
1.0,1.0,5030,320,320,0.0,4.0,
1.0,1.0,5063,320,320,0.0,4.0,
1.0,1.0,5096,320,320,0.0,4.0,
1.0,1.0,5130,320,320,0.0,4.0,
1.0,1.0,5163,320,320,0.0,4.0,
1.0,1.0,5197,320,320,0.0,4.0,
1.0,1.0,5230,320,320,0.0,4.0,
1.0,1.0,5264,320,320,0.0,4.0,
1.0,1.0,5297,320,320,0.0,4.0,
1.0,1.0,5330,320,320,0.0,4.0,
1.0,1.0,5364,320,320,0.0,4.0,
1.0,1.0,5397,320,320,0.0,4.0,
1.0,1.0,5428,320,320,0.0,4.0,
1.0,1.0,5460,320,320,0.0,4.0,
1.0,1.0,5491,320,320,0.0,4.0,
1.0,1.0,5524,320,320,0.0,4.0,
1.0,1.0,5556,320,320,0.0,4.0,
1.0,1.0,5587,320,320,0.0,4.0,
1.0,1.0,5620,320,320,0.0,4.0,
1.0,1.0,5652,320,320,0.0,4.0,
1.0,1.0,5684,320,320,0.0,4.0,
1.0,1.0,5715,320,320,0.0,4.0,
1.0,1.0,5748,320,320,0.0,4.0,
1.0,1.0,5781,320,320,0.0,4.0,
1.0,1.0,5815,320,320,0.0,4.0,
1.0,1.0,5848,320,320,0.0,4.0,
1.0,1.0,5882,320,320,0.0,4.0,
1.0,1.0,5915,320,320,0.0,4.0,
1.0,1.0,5949,320,320,0.0,4.0,
1.0,1.0,5982,320,320,0.0,4.0,
1.0,1.0,6016,320,320,0.0,4.0,
1.0,1.0,6049,320,320,0.0,4.0,
1.0,1.0,6082,320,320,0.0,4.0,
1.0,1.0,6117,320,320,0.0,4.0,
1.0,1.0,6149,320,320,0.0,4.0,
1.0,1.0,6183,320,320,0.0,4.0,
1.0,1.0,6216,320,320,0.0,4.0,
1.0,1.0,6250,320,320,0.0,4.0,
1.0,1.0,6283,320,320,0.0,4.0,
1.0,1.0,6316,320,320,0.0,4.0,
1.0,1.0,6350,320,320,0.0,4.0,
1.0,1.0,6383,320,320,0.0,4.0,
1.0,1.0,6417,320,320,0.0,4.0,
1.0,1.0,6450,320,320,0.0,4.0,
1.0,1.0,6484,320,320,0.0,4.0,
1.0,1.0,6517,320,320,0.0,4.0,
1.0,1.0,6550,320,320,0.0,4.0,
1.0,1.0,6584,320,320,0.0,4.0,
1.0,1.0,6617,320,320,0.0,4.0,
1.0,1.0,6651,320,320,0.0,4.0,
1.0,1.0,6684,320,320,0.0,4.0,
1.0,1.0,6717,320,320,0.0,4.0,
1.0,1.0,6751,320,320,0.0,4.0,
1.0,1.0,6784,320,320,0.0,4.0,
1.0,1.0,6818,320,320,0.0,4.0,
1.0,1.0,6851,320,320,0.0,4.0,
1.0,1.0,6885,320,320,0.0,4.0,
1.0,1.0,6919,320,320,0.0,4.0,
1.0,1.0,6951,320,320,0.0,4.0,
1.0,1.0,6985,320,320,0.0,4.0,
1.0,1.0,7018,320,320,0.0,4.0,
1.0,1.0,7052,320,320,0.0,4.0,
1.0,1.0,7085,320,320,0.0,4.0,
1.0,1.0,7120,320,320,0.0,4.0,
1.0,1.0,7152,320,320,0.0,4.0,
1.0,1.0,7185,320,320,0.0,4.0,
1.0,1.0,7219,320,320,0.0,4.0,
1.0,1.0,7252,320,320,0.0,4.0,
1.0,1.0,7286,320,320,0.0,4.0,
1.0,1.0,7319,320,320,0.0,4.0,
1.0,1.0,7352,320,320,0.0,4.0,
1.0,1.0,7387,320,320,0.0,4.0,
1.0,1.0,7419,320,320,0.0,4.0,
1.0,1.0,7453,320,320,0.0,4.0,
1.0,1.0,7486,320,320,0.0,4.0,
1.0,1.0,7520,320,320,0.0,4.0,
1.0,1.0,7553,320,320,0.0,4.0,
1.0,1.0,7586,320,320,0.0,4.0,
1.0,1.0,7620,320,320,0.0,4.0,
1.0,1.0,7654,320,320,0.0,4.0,
1.0,1.0,7688,320,320,0.0,4.0,
1.0,1.0,7720,320,320,0.0,4.0,
1.0,1.0,7754,320,320,0.0,4.0,
1.0,1.0,7788,320,320,0.0,4.0,
1.0,1.0,7820,320,320,0.0,4.0,
1.0,1.0,7854,320,320,0.0,4.0,
1.0,1.0,7887,320,320,0.0,4.0,
1.0,1.0,7921,320,320,0.0,4.0,
