Spatial Frequency(Hz),Modulation(0-1),System time since start (milliseconds),Target Position(pixels),Cursor Position(pixels),Error(pixels),x-axis gain
1.0,1.0,3,588,320,268.0,4.0,
1.0,1.0,36,593,320,273.0,4.0,
1.0,1.0,67,597,320,277.0,4.0,
1.0,1.0,99,600,320,280.0,4.0,
1.0,1.0,132,603,320,283.0,4.0,
1.0,1.0,165,605,320,285.0,4.0,
1.0,1.0,198,606,320,286.0,4.0,
1.0,1.0,232,608,320,288.0,4.0,
1.0,1.0,265,610,320,290.0,4.0,
1.0,1.0,299,612,320,292.0,4.0,
1.0,1.0,332,615,320,295.0,4.0,
1.0,1.0,365,618,320,298.0,4.0,
1.0,1.0,399,621,320,301.0,4.0,
1.0,1.0,432,626,320,306.0,4.0,
1.0,1.0,466,632,320,312.0,4.0,
1.0,1.0,499,639,320,319.0,4.0,
1.0,1.0,532,646,320,326.0,4.0,
1.0,1.0,566,652,320,332.0,4.0,
1.0,1.0,599,655,320,335.0,4.0,
1.0,1.0,633,656,320,336.0,4.0,
1.0,1.0,666,655,320,335.0,4.0,
1.0,1.0,700,652,320,332.0,4.0,
1.0,1.0,733,648,320,328.0,4.0,
1.0,1.0,767,642,320,322.0,4.0,
1.0,1.0,800,636,320,316.0,4.0,
1.0,1.0,833,629,320,309.0,4.0,
1.0,1.0,867,623,320,303.0,4.0,
1.0,1.0,900,616,320,296.0,4.0,
1.0,1.0,931,610,320,290.0,4.0,
1.0,1.0,961,605,320,285.0,4.0,
1.0,1.0,993,599,320,279.0,4.0,
1.0,1.0,1024,592,320,272.0,4.0,
1.0,1.0,1056,585,320,265.0,4.0,
1.0,1.0,1087,579,320,259.0,4.0,
1.0,1.0,1122,574,320,254.0,4.0,
1.0,1.0,1154,570,320,250.0,4.0,
1.0,1.0,1187,567,320,247.0,4.0,
1.0,1.0,1222,566,320,246.0,4.0,
1.0,1.0,1255,565,320,245.0,4.0,
1.0,1.0,1287,565,320,245.0,4.0,
1.0,1.0,1318,565,320,245.0,4.0,
1.0,1.0,1351,568,320,248.0,4.0,
1.0,1.0,1385,572,320,252.0,4.0,
1.0,1.0,1418,579,320,259.0,4.0,
1.0,1.0,1452,587,320,267.0,4.0,
1.0,1.0,1485,597,320,277.0,4.0,
1.0,1.0,1518,609,320,289.0,4.0,
1.0,1.0,1552,623,320,303.0,4.0,
1.0,1.0,1585,637,320,317.0,4.0,
1.0,1.0,1620,651,320,331.0,4.0,
1.0,1.0,1652,664,320,344.0,4.0,
1.0,1.0,1686,674,320,354.0,4.0,
1.0,1.0,1719,681,320,361.0,4.0,
1.0,1.0,1754,685,320,365.0,4.0,
1.0,1.0,1786,688,320,368.0,4.0,
1.0,1.0,1819,689,320,369.0,4.0,
1.0,1.0,1853,688,320,368.0,4.0,
1.0,1.0,1886,686,320,366.0,4.0,
1.0,1.0,1919,683,320,363.0,4.0,
1.0,1.0,1953,680,320,360.0,4.0,
1.0,1.0,1986,675,320,355.0,4.0,
1.0,1.0,2020,672,320,352.0,4.0,
1.0,1.0,2053,668,320,348.0,4.0,
1.0,1.0,2087,665,320,345.0,4.0,
1.0,1.0,2118,663,320,343.0,4.0,
1.0,1.0,2149,661,320,341.0,4.0,
1.0,1.0,2181,661,320,341.0,4.0,
1.0,1.0,2215,663,320,343.0,4.0,
1.0,1.0,2246,665,320,345.0,4.0,
1.0,1.0,2278,668,320,348.0,4.0,
1.0,1.0,2311,671,320,351.0,4.0,
1.0,1.0,2343,673,320,353.0,4.0,
1.0,1.0,2377,674,320,354.0,4.0,
1.0,1.0,2409,674,320,354.0,4.0,
1.0,1.0,2442,674,320,354.0,4.0,
1.0,1.0,2477,674,320,354.0,4.0,
1.0,1.0,2510,676,320,356.0,4.0,
1.0,1.0,2543,677,320,357.0,4.0,
1.0,1.0,2576,679,320,359.0,4.0,
1.0,1.0,2610,682,320,362.0,4.0,
1.0,1.0,2642,685,320,365.0,4.0,
1.0,1.0,2676,687,320,367.0,4.0,
1.0,1.0,2711,689,320,369.0,4.0,
1.0,1.0,2742,690,320,370.0,4.0,
1.0,1.0,2773,689,320,369.0,4.0,
1.0,1.0,2806,686,320,366.0,4.0,
1.0,1.0,2838,682,320,362.0,4.0,
1.0,1.0,2872,677,320,357.0,4.0,
1.0,1.0,2906,672,320,352.0,4.0,
1.0,1.0,2939,666,320,346.0,4.0,
1.0,1.0,2972,659,320,339.0,4.0,
1.0,1.0,3006,652,320,332.0,4.0,
1.0,1.0,3040,643,320,323.0,4.0,
1.0,1.0,3073,635,320,315.0,4.0,
1.0,1.0,3106,628,320,308.0,4.0,
1.0,1.0,3139,621,320,301.0,4.0,
1.0,1.0,3173,615,320,295.0,4.0,
1.0,1.0,3206,611,320,291.0,4.0,
1.0,1.0,3241,607,320,287.0,4.0,
1.0,1.0,3273,605,320,285.0,4.0,
