Spatial Frequency(Hz),Modulation(0-1),System time(milliseconds),Target Position(pixels),Cursor Position(pixels),Error(pixels),x-axis gain
16.0,0.0,1435093381321,160.0,160.0,0.0,2.0,
16.0,0.0,1435093381397,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381465,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381477,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381486,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381494,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381505,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381515,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381525,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381536,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381544,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381557,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381568,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381577,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381589,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381598,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381614,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381624,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381633,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381642,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381653,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381666,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381678,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381687,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381697,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381706,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381716,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381734,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381745,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381756,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381768,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381777,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381789,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381801,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381833,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381843,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381857,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381866,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381876,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381884,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381894,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381902,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381915,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381925,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381938,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381949,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381956,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381964,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381973,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381982,320.0,160.0,160.0,2.0,
16.0,0.0,1435093381995,320.0,160.0,160.0,2.0,
16.0,0.0,1435093382005,320.0,160.0,160.0,2.0,
16.0,0.0,1435093382016,320.0,160.0,160.0,2.0,
16.0,0.0,1435093382027,320.0,160.0,160.0,2.0,
16.0,0.0,1435093382037,320.0,160.0,160.0,2.0,
16.0,0.0,1435093382046,320.0,160.0,160.0,2.0,
16.0,0.0,1435093382056,320.0,160.0,160.0,2.0,
16.0,0.0,1435093382064,320.0,160.0,160.0,2.0,
16.0,0.0,1435093382076,320.0,160.0,160.0,2.0,
16.0,0.0,1435093382085,320.0,160.0,160.0,2.0,
16.0,0.0,1435093382094,320.0,160.0,160.0,2.0,
16.0,0.0,1435093382104,320.0,160.0,160.0,2.0,
16.0,0.0,1435093382114,320.0,160.0,160.0,2.0,
16.0,0.0,1435093382124,320.0,160.0,160.0,2.0,
16.0,0.0,1435093382133,320.0,160.0,160.0,2.0,
16.0,0.0,1435093382143,320.0,160.0,160.0,2.0,
16.0,0.0,1435093382152,320.0,160.0,160.0,2.0,
16.0,0.0,1435093382161,320.0,160.0,160.0,2.0,
16.0,0.0,1435093382180,321.0,160.0,161.0,2.0,
16.0,0.0,1435093382191,321.0,160.0,161.0,2.0,
16.0,0.0,1435093382201,322.0,160.0,162.0,2.0,
16.0,0.0,1435093382218,322.0,160.0,162.0,2.0,
16.0,0.0,1435093382231,323.0,160.0,163.0,2.0,
16.0,0.0,1435093382240,323.0,160.0,163.0,2.0,
16.0,0.0,1435093382247,323.0,160.0,163.0,2.0,
16.0,0.0,1435093382257,323.0,160.0,163.0,2.0,
16.0,0.0,1435093382267,323.0,160.0,163.0,2.0,
16.0,0.0,1435093382276,323.0,160.0,163.0,2.0,
16.0,0.0,1435093382284,323.0,160.0,163.0,2.0,
16.0,0.0,1435093382296,324.0,160.0,164.0,2.0,
16.0,0.0,1435093382305,324.0,160.0,164.0,2.0,
16.0,0.0,1435093382314,324.0,160.0,164.0,2.0,
16.0,0.0,1435093382331,324.0,160.0,164.0,2.0,
16.0,0.0,1435093382342,324.0,160.0,164.0,2.0,
16.0,0.0,1435093382351,324.0,160.0,164.0,2.0,
16.0,0.0,1435093382365,325.0,160.0,165.0,2.0,
16.0,0.0,1435093382377,325.0,160.0,165.0,2.0,
16.0,0.0,1435093382387,325.0,160.0,165.0,2.0,
16.0,0.0,1435093382397,325.0,160.0,165.0,2.0,
16.0,0.0,1435093382414,325.0,160.0,165.0,2.0,
16.0,0.0,1435093382424,325.0,160.0,165.0,2.0,
16.0,0.0,1435093382433,327.0,160.0,167.0,2.0,
16.0,0.0,1435093382454,327.0,160.0,167.0,2.0,
16.0,0.0,1435093382464,327.0,160.0,167.0,2.0,
16.0,0.0,1435093382481,327.0,160.0,167.0,2.0,
16.0,0.0,1435093382497,327.0,160.0,167.0,2.0,
16.0,0.0,1435093382509,327.0,160.0,167.0,2.0,
16.0,0.0,1435093382520,327.0,160.0,167.0,2.0,
16.0,0.0,1435093382529,327.0,160.0,167.0,2.0,
16.0,0.0,1435093382538,327.0,160.0,167.0,2.0,
16.0,0.0,1435093382546,327.0,160.0,167.0,2.0,
16.0,0.0,1435093382555,327.0,160.0,167.0,2.0,
16.0,0.0,1435093382563,328.0,160.0,168.0,2.0,
16.0,0.0,1435093382581,328.0,160.0,168.0,2.0,
16.0,0.0,1435093382593,329.0,160.0,169.0,2.0,
16.0,0.0,1435093382612,329.0,160.0,169.0,2.0,
16.0,0.0,1435093382620,329.0,160.0,169.0,2.0,
16.0,0.0,1435093382629,331.0,160.0,171.0,2.0,
16.0,0.0,1435093382638,331.0,160.0,171.0,2.0,
16.0,0.0,1435093382647,331.0,160.0,171.0,2.0,
16.0,0.0,1435093382660,332.0,160.0,172.0,2.0,
16.0,0.0,1435093382669,332.0,160.0,172.0,2.0,
16.0,0.0,1435093382679,332.0,160.0,172.0,2.0,
16.0,0.0,1435093382688,332.0,160.0,172.0,2.0,
16.0,0.0,1435093382696,334.0,160.0,174.0,2.0,
16.0,0.0,1435093382713,334.0,160.0,174.0,2.0,
16.0,0.0,1435093382725,335.0,160.0,175.0,2.0,
16.0,0.0,1435093382735,335.0,160.0,175.0,2.0,
16.0,0.0,1435093382748,335.0,160.0,175.0,2.0,
16.0,0.0,1435093382757,335.0,160.0,175.0,2.0,
16.0,0.0,1435093382767,335.0,160.0,175.0,2.0,
