Spatial Frequency(Hz),Modulation(0-1),System time since start (milliseconds),Target Position(pixels),Cursor Position(pixels),Error(pixels),x-axis gain
10.0,1.0,45,480,480,0.0,0.0,
10.0,1.0,98,480,480,0.0,0.0,
10.0,1.0,120,480,480,0.0,0.0,
10.0,1.0,135,480,480,0.0,0.0,
10.0,1.0,168,480,480,0.0,0.0,
10.0,1.0,201,480,480,0.0,0.0,
10.0,1.0,235,480,480,0.0,0.0,
10.0,1.0,267,480,480,0.0,0.0,
10.0,1.0,300,480,480,0.0,0.0,
10.0,1.0,335,480,480,0.0,0.0,
10.0,1.0,368,480,480,0.0,0.0,
10.0,1.0,401,480,480,0.0,0.0,
10.0,1.0,434,480,480,0.0,0.0,
10.0,1.0,468,480,480,0.0,0.0,
10.0,1.0,501,480,480,0.0,0.0,
10.0,1.0,534,480,480,0.0,0.0,
10.0,1.0,568,480,480,0.0,0.0,
10.0,1.0,600,480,480,0.0,0.0,
10.0,1.0,634,480,480,0.0,0.0,
10.0,1.0,668,480,480,0.0,0.0,
10.0,1.0,701,480,480,0.0,0.0,
10.0,1.0,734,480,480,0.0,0.0,
10.0,1.0,767,480,480,0.0,0.0,
10.0,1.0,801,480,480,0.0,0.0,
10.0,1.0,834,480,480,0.0,0.0,
10.0,1.0,867,480,480,0.0,0.0,
10.0,1.0,900,480,480,0.0,0.0,
10.0,1.0,933,480,480,0.0,0.0,
10.0,1.0,967,480,480,0.0,0.0,
10.0,1.0,1001,480,480,0.0,0.0,
10.0,1.0,1033,480,480,0.0,0.0,
10.0,1.0,1065,480,480,0.0,0.0,
10.0,1.0,1095,480,480,0.0,0.0,
10.0,1.0,1129,480,480,0.0,0.0,
10.0,1.0,1162,480,480,0.0,0.0,
10.0,1.0,1196,480,480,0.0,0.0,
10.0,1.0,1230,480,480,0.0,0.0,
10.0,1.0,1262,480,480,0.0,0.0,
10.0,1.0,1295,480,480,0.0,0.0,
10.0,1.0,1329,480,480,0.0,0.0,
10.0,1.0,1362,480,480,0.0,0.0,
10.0,1.0,1393,480,480,0.0,0.0,
10.0,1.0,1423,480,480,0.0,0.0,
10.0,1.0,1457,480,480,0.0,0.0,
10.0,1.0,1487,480,480,0.0,0.0,
10.0,1.0,1518,480,480,0.0,0.0,
10.0,1.0,1550,480,480,0.0,0.0,
10.0,1.0,1584,480,480,0.0,0.0,
10.0,1.0,1617,480,480,0.0,0.0,
10.0,1.0,1650,480,480,0.0,0.0,
10.0,1.0,1684,480,480,0.0,0.0,
10.0,1.0,1717,480,480,0.0,0.0,
10.0,1.0,1750,480,480,0.0,0.0,
10.0,1.0,1784,480,480,0.0,0.0,
10.0,1.0,1817,480,480,0.0,0.0,
10.0,1.0,1850,480,480,0.0,0.0,
10.0,1.0,1885,480,480,0.0,0.0,
10.0,1.0,1920,480,480,0.0,0.0,
10.0,1.0,1953,480,480,0.0,0.0,
10.0,1.0,1984,480,480,0.0,0.0,
10.0,1.0,2017,480,480,0.0,0.0,
10.0,1.0,2050,480,480,0.0,0.0,
10.0,1.0,2084,480,480,0.0,0.0,
10.0,1.0,2117,480,480,0.0,0.0,
10.0,1.0,2150,480,480,0.0,0.0,
10.0,1.0,2184,480,480,0.0,0.0,
10.0,1.0,2217,480,480,0.0,0.0,
10.0,1.0,2250,480,480,0.0,0.0,
10.0,1.0,2284,480,480,0.0,0.0,
10.0,1.0,2317,480,480,0.0,0.0,
10.0,1.0,2350,480,480,0.0,0.0,
10.0,1.0,2384,480,480,0.0,0.0,
10.0,1.0,2418,480,480,0.0,0.0,
10.0,1.0,2449,480,480,0.0,0.0,
10.0,1.0,2479,480,480,0.0,0.0,
10.0,1.0,2512,480,480,0.0,0.0,
10.0,1.0,2545,480,480,0.0,0.0,
10.0,1.0,2579,480,480,0.0,0.0,
10.0,1.0,2612,480,480,0.0,0.0,
10.0,1.0,2645,480,480,0.0,0.0,
10.0,1.0,2678,480,480,0.0,0.0,
10.0,1.0,2711,480,480,0.0,0.0,
10.0,1.0,2745,480,480,0.0,0.0,
10.0,1.0,2779,480,480,0.0,0.0,
10.0,1.0,2812,480,480,0.0,0.0,
10.0,1.0,2846,480,480,0.0,0.0,
10.0,1.0,2880,480,480,0.0,0.0,
10.0,1.0,2913,480,480,0.0,0.0,
10.0,1.0,2945,480,480,0.0,0.0,
10.0,1.0,2978,480,480,0.0,0.0,
10.0,1.0,3012,480,480,0.0,0.0,
10.0,1.0,3046,480,480,0.0,0.0,
10.0,1.0,3078,480,480,0.0,0.0,
10.0,1.0,3111,480,480,0.0,0.0,
10.0,1.0,3145,480,480,0.0,0.0,
10.0,1.0,3178,480,480,0.0,0.0,
10.0,1.0,3213,480,480,0.0,0.0,
10.0,1.0,3245,480,480,0.0,0.0,
10.0,1.0,3278,480,480,0.0,0.0,
10.0,1.0,3311,480,480,0.0,0.0,
10.0,1.0,3344,480,480,0.0,0.0,
10.0,1.0,3378,480,480,0.0,0.0,
10.0,1.0,3411,480,480,0.0,0.0,
10.0,1.0,3445,480,480,0.0,0.0,
10.0,1.0,3478,480,480,0.0,0.0,
10.0,1.0,3511,480,480,0.0,0.0,
10.0,1.0,3545,480,480,0.0,0.0,
10.0,1.0,3578,480,480,0.0,0.0,
10.0,1.0,3611,480,480,0.0,0.0,
10.0,1.0,3644,480,480,0.0,0.0,
10.0,1.0,3678,480,480,0.0,0.0,
10.0,1.0,3711,480,480,0.0,0.0,
10.0,1.0,3745,480,480,0.0,0.0,
10.0,1.0,3778,480,480,0.0,0.0,
10.0,1.0,3811,480,480,0.0,0.0,
10.0,1.0,3846,480,480,0.0,0.0,
10.0,1.0,3879,480,480,0.0,0.0,
10.0,1.0,3912,480,480,0.0,0.0,
10.0,1.0,3945,480,480,0.0,0.0,
10.0,1.0,3977,480,480,0.0,0.0,
10.0,1.0,4011,480,480,0.0,0.0,
10.0,1.0,4044,480,480,0.0,0.0,
10.0,1.0,4079,480,480,0.0,0.0,
10.0,1.0,4111,480,480,0.0,0.0,
10.0,1.0,4144,480,480,0.0,0.0,
10.0,1.0,4176,480,480,0.0,0.0,
10.0,1.0,4208,480,480,0.0,0.0,
10.0,1.0,4242,480,480,0.0,0.0,
10.0,1.0,4275,480,480,0.0,0.0,
10.0,1.0,4305,480,480,0.0,0.0,
10.0,1.0,4338,480,480,0.0,0.0,
10.0,1.0,4368,480,480,0.0,0.0,
10.0,1.0,4399,480,480,0.0,0.0,
10.0,1.0,4429,480,480,0.0,0.0,
10.0,1.0,4462,480,480,0.0,0.0,
10.0,1.0,4495,480,480,0.0,0.0,
10.0,1.0,4530,480,480,0.0,0.0,
10.0,1.0,4562,480,480,0.0,0.0,
10.0,1.0,4595,480,480,0.0,0.0,
10.0,1.0,4628,480,480,0.0,0.0,
10.0,1.0,4662,480,480,0.0,0.0,
10.0,1.0,4695,480,480,0.0,0.0,
10.0,1.0,4729,480,480,0.0,0.0,
10.0,1.0,4761,480,480,0.0,0.0,
